#
1;thief;1;19;morocc;moc_fild07;all, Drops, PecoPeco's Egg, Picky, Super Picky,Andre,Deniro;Yellow Plant;Poring Card,Fabre Card,Willow Card,Picky Card,Andre Card,Thara Frog Card,Kukre Card,Marina Card,Hydra Card,Scorpion Card,Muka Card,Peco Peco Egg Card,Condor Card,Metaller Card,Dokebi Card,Peco Peco Card,Snake Card,2402,2102,1117,Andre Egg Card;all
2;thief;1;19;morocc;moc_fild10;all, Ant's Egg, Drops, PecoPeco's Egg, Picky;Green Plant, Magnolia,Andre,Deniro;Poring Card,Fabre Card,Willow Card,Picky Card,Andre Card,Thara Frog Card,Kukre Card,Marina Card,Hydra Card,Scorpion Card,Muka Card,Peco Peco Egg Card,Condor Card,Metaller Card,Dokebi Card,Peco Peco Card,Snake Card,2402,2102,1117,Andre Egg Card;all
3;thief;1;19;morocc;moc_fild12;all, Drops, PecoPeco's Egg, Picky, Super Picky;Yellow Plant,Andre,Deniro;Poring Card,Fabre Card,Willow Card,Picky Card,Andre Card,Thara Frog Card,Kukre Card,Marina Card,Hydra Card,Scorpion Card,Muka Card,Peco Peco Egg Card,Condor Card,Metaller Card,Dokebi Card,Peco Peco Card,Snake Card,2402,2102,1117,Andre Egg Card;all
4;thief;20;38;izlude;moc_fild13;all, Drops, PecoPeco's Egg, Picky, Super Picky;Yellow Plant,Red Mushroom,Andre,Deniro;Drops Card, Picky Egg Card, Poring Card,Fabre Card,Willow Card,Picky Card,Andre Card,Thara Frog Card,Kukre Card,Marina Card,Hydra Card,Scorpion Card,Muka Card,Peco Peco Egg Card,Condor Card,Metaller Card,Dokebi Card,Peco Peco Card,Snake Card,2402,2102,1117,Andre Egg Card;all
5;thief;39;49;izlude;iz_dun01;all;Picky, Yellow Plant, Red Mushroom;Poring Card,Fabre Card,Willow Card,Picky Card,Andre Card,Thara Frog Card,Kukre Card,Marina Card,Hydra Card,Scorpion Card,Muka Card,Peco Peco Egg Card,Condor Card,Metaller Card,Dokebi Card,Peco Peco Card,Snake Card,2402,2102,1117,Plankton Card,Cornutus Card,2106,Vadon Card,Andre Egg Card;all
6;thief;50;55;morocc;moc_fild15;all;Yellow Plant;Poring Card,Fabre Card,Willow Card,Picky Card,Andre Card,Thara Frog Card,Kukre Card,Marina Card,Hydra Card,Scorpion Card,Muka Card,Peco Peco Egg Card,Condor Card,Metaller Card,Dokebi Card,Peco Peco Card,Snake Card,2402,2102,1117,Andre Egg Card;all
7;merch;12;16;alberta;pay_fild03;all;Red Mushroom,Green Plant,1024,Creamy;Poring Card,Fabre Card,Willow Card,Pupa Card,Lunatic Card;all
8;merch;17;30;alberta;pay_fild06;all;Red Mushroom,Green Plant;Poring Card,Fabre Card,Willow Card,Pupa Card,Lunatic Card,Spore Card,Roda Frog Card;all
9;merch;31;40;alberta;pay_fild05;all;Red Mushroom,Green Plant;Poring Card,Fabre Card,Willow Card,Pupa Card,Lunatic Card,Spore Card,Roda Frog Card;all
10;merch;41;60;alberta;pay_fild02;all;Red Mushroom,Green Plant;Poring Card,Fabre Card,Willow Card,Pupa Card,Lunatic Card,Spore Card,Roda Frog Card,Wolf Card,Boa Card,Thief bug card;all
